resnet18,resnet50,resnet152
1.987648,6.179135,16.680000
1.923167,6.164288,16.634271
1.944319,6.147520,16.634687
1.930464,6.153120,16.607999
1.918879,6.156991,16.600736
1.924607,6.151072,16.617023
1.933248,6.160831,16.627456
1.926591,6.172863,16.621088
1.924864,6.153312,16.629280
1.959903,6.144991,16.639232
1.914847,6.162655,16.606912
1.928063,6.153312,16.595264
1.924095,6.171552,16.597087
1.927520,6.144896,16.653600
1.919615,6.165855,16.626592
1.924288,6.144512,16.632127
1.926048,6.170688,16.611488
1.928607,6.156767,16.614400
1.923392,6.148543,16.612768
1.918463,6.154943,16.598783
1.926911,6.160543,16.622592
1.918655,6.154463,16.619808
1.948192,6.166207,16.607872
1.922943,6.165823,16.597312
1.920320,6.158400,16.633663
1.925951,6.163360,16.634431
1.919039,6.154047,16.623264
1.917183,6.157887,16.583967
1.921344,6.189375,16.609184
1.924736,6.155039,16.605695
1.936831,6.143231,16.602207
1.923071,6.169119,16.585151
1.919360,6.150976,16.597280
1.924864,6.160927,16.609024
1.922207,6.157343,16.641183
1.925439,6.166624,16.613887
1.916704,6.160096,16.606079
1.926272,6.161215,16.625280
1.926079,6.160160,16.618591
1.920480,6.160607,16.613376
1.920544,6.149472,16.621023
1.920096,6.158880,16.633312
1.913823,6.163008,16.621664
1.918400,6.173600,16.603616
1.945152,6.161087,16.624031
1.922623,6.159296,16.630752
1.928704,6.154655,16.628543
1.918560,6.161568,16.614624
1.923040,6.151775,16.635583
1.926944,6.159488,16.615135
1.919551,6.162399,16.596031
1.920256,6.167967,16.606719
1.921952,6.154079,16.632352
1.918784,6.163936,16.626911
1.920863,6.160672,16.628768
1.922912,6.156767,16.610143
1.916671,6.150591,16.609920
1.919551,6.161600,16.634687
1.928447,6.153151,16.620512
1.919808,6.149280,16.618816